genotype,devstage,arclength,x,y,x_sd,y_sd,curvature,curvature_sd,crosssection
ecadGFPnbG4,wL3,-124.69607985171186,115.11820764613661,-40.244726344522064,3.2651275860100517,10.359782194865096,0.003910172432606644,0.0006557043152107508,Along_DV
ecadGFPnbG4,wL3,-118.12986626446775,109.747591571861,-36.49746565282977,3.00526269181415,9.914361905196085,0.004067813525193868,0.0006880765239887196,Along_DV
ecadGFPnbG4,wL3,-111.56365267722362,104.27815909813359,-32.89466183955751,2.7526480677672582,9.456025817734663,0.004216282871009108,0.0007494614860831076,Along_DV
ecadGFPnbG4,wL3,-104.99743908997951,98.71207025636919,-29.445530921834017,2.5079408173337807,8.987378851991082,0.004356089295958198,0.0008114950385685658,Along_DV
ecadGFPnbG4,wL3,-98.4312255027354,93.05218034589241,-26.158819175786093,2.2715194581921336,8.51039398156368,0.0044869086465809385,0.0008566294986612218,Along_DV
ecadGFPnbG4,wL3,-91.86501191549127,87.3019326845603,-23.04270175048345,2.04363221951891,8.026427632696947,0.004607147513849897,0.0008745546381661413,Along_DV
ecadGFPnbG4,wL3,-85.29879832824716,81.465254115704,-20.10465484762044,1.8245132421302672,7.53629325810653,0.004712947682817221,0.000860544733043733,Along_DV
ecadGFPnbG4,wL3,-78.73258474100305,75.54647061910096,-17.351284725420157,1.6144560867168243,7.040392326309808,0.00480084191099482,0.0008130532722411006,Along_DV
ecadGFPnbG4,wL3,-72.16637115375892,69.55022069451671,-14.788185453872904,1.4138553461831154,6.53887904283817,0.004868310077897048,0.0007342001180859188,Along_DV
ecadGFPnbG4,wL3,-65.60015756651481,63.48137472125378,-12.419868025185501,1.223226644043462,6.031798234229923,0.00491548122411587,0.0006361066733974839,Along_DV
ecadGFPnbG4,wL3,-59.0339439792707,57.34499667051259,-10.249805753072552,1.043225735470496,5.519140416257287,0.004943632013268828,0.0005427552090741885,Along_DV
ecadGFPnbG4,wL3,-52.46773039202657,51.146323169142676,-8.28052399155771,0.8746616492542603,5.000824473913619,0.004954427878165063,0.0004925286778731837,Along_DV
