genotype,devstage,arclength,x,y,x_sd,y_sd,x_sem,y_sem,curvature,curvature_sd,curvature_sem,thickness,crosssection
ecadGFPnbG4,wL3,67.34259755300403,-60.574922020441534,-23.7113832787005,0.7146957338944615,1.2580752419905818,0.31962164884342326,0.5626283523800878,0.012725523298572012,0.00027422406740907143,0.00012263673115863366,0.05,Across_DV
ecadGFPnbG4,0hAPF,-60.89309963617343,53.96030708788628,-23.72941381426376,0.6337405525618524,1.459149989562404,0.28341739112531605,0.6525517132059288,0.019103957980893902,0.0062816868455684415,0.0028092557600114514,0.05,Across_DV
ecadGFPnbG4,0hAPF,-58.83333364339436,52.56104572931538,-22.21824072963252,0.6071934941410069,1.404864227822787,0.27154518567898234,0.6282743825139006,0.014643247892496731,0.0039788241675787345,0.0017793842618450129,0.05,Across_DV
ecadGFPnbG4,0hAPF,-56.77356765061529,51.12650885713772,-20.761407856906203,0.5793815039488799,1.376476721980711,0.2591072855471516,0.6155791039589897,0.011487139471223474,0.0015917271380193455,0.0007118420164484892,0.05,Across_DV
ecadGFPnbG4,0hAPF,-54.713801657836214,49.65473231494782,-19.336449365640803,0.5524520781949366,1.3553989959535446,0.24706408023098148,0.6061528583174176,0.01006827492318896,0.0005112705333303808,0.00022864713348386066,0.05,Across_DV
ecadGFPnbG4,0hAPF,-52.654035665057144,48.145607283960885,-17.93529459589487,0.5276766251012642,1.3307462174482902,0.23598416077281972,0.5951278006030187,0.010142780577026684,0.0012032828704647274,0.0005381244589040408,0.05,Across_DV
ecadGFPnbG4,0hAPF,-50.594269672278074,46.60027124687981,-16.559965211388075,0.5055795337101537,1.297683247679175,0.22610204108171003,0.5803415910146663,0.01118773303091509,0.0013634103865147588,0.0006097356610952526,0.05,Across_DV
ecadGFPnbG4,0hAPF,-48.534503679499,45.02049900966382,-15.218272674643671,0.4861143875993629,1.256016015154012,0.21739696310257123,0.5617074381425554,0.012606332017930044,0.001017777554716264,0.00045516395966381556,0.05,Across_DV
ecadGFPnbG4,0hAPF,-46.474737686719926,43.408109042214,-13.919598457337347,0.46888007018192973,1.2087254288409186,0.2096895420443334,0.5405584450041757,0.013852544249487574,0.00043783471427888307,0.00019580563680735607,0.05,Across_DV
ecadGFPnbG4,0hAPF,-44.414971693940856,41.76450327740477,-12.67140786492105,0.4534187112032665,1.159849822914522,0.20277501210416984,0.5187006095455928,0.01457592069258938,0.0002589688848893714,0.0001158144061339905,0.05,Across_DV
ecadGFPnbG4,0hAPF,-42.355205701161786,40.09047919870119,-11.477481749582061,0.43943596033517623,1.1123216136474217,0.19652173581347104,0.4974453481915785,0.014738066882448738,0.00047901530848684496,0.00021422215840792344,0.05,Across_DV
ecadGFPnbG4,0hAPF,-40.295439708382716,38.386307378040904,-10.338171219283325,0.4268338093172342,1.0673382108878091,0.19088588254570374,0.47732815890562946,0.014451743833402465,0.0005193795279659184,0.00023227358613070933,0.05,Across_DV
ecadGFPnbG4,0hAPF,-38.23567371560364,36.65191645423424,-9.251527499326404,0.41568092425172914,1.0246536591684734,0.18589816071536144,0.45823904705892143,0.013883075058890942,0.00039242042411715127,0.0001754957488170496,0.05,Across_DV
ecadGFPnbG4,0hAPF,-36.17590772282457,34.887087087944266,-8.214504882722798,0.4061682947188132,0.982957030198723,0.18164398345928703,0.43959174769713166,0.013247639538651435,0.00033289231868439164,0.00014887397075316462,0.05,Across_DV
ecadGFPnbG4,0hAPF,-34.1161417300455,33.09164593175244,-7.224163802735743,0.39855015628099477,0.9402447024991776,0.1782370483774938,0.4204902140544455,0.012795953928216124,0.0006418354898909406,0.00028703755715360447,0.05,Across_DV
ecadGFPnbG4,0hAPF,-32.05637573726642,31.265659577061534,-6.278873771290038,0.39306956889451694,0.8941844219179835,0.17578605518693535,0.3998914303659928,0.012794475377582076,0.0010735340900486496,0.0004800990403024322,0.05,Across_DV
ecadGFPnbG4,0hAPF,-29.99660974448735,29.409621061002582,-5.379473635929424,0.389871016337362,0.842516966579936,0.1743556189974545,0.3767850418939311,0.013436893812598803,0.001402312275155732,0.0006271331145861212,0.05,Across_DV
ecadGFPnbG4,0hAPF,-27.93684375170828,27.524564679405223,-4.529973776308211,0.3889161333010108,0.7837102554112315,0.17392858232148597,0.35048588115264717,0.014679628741043328,0.0014989944224304348,0.0006703706852894976,0.05,Across_DV
ecadGFPnbG4,0hAPF,-25.87707775892921,25.61204600165857,-3.737174719671659,0.38996510271321505,0.7174278828565908,0.1743976957038873,0.3208435030042186,0.016315721686442648,0.001379106670766679,0.0006167552528115432,0.05,Across_DV
ecadGFPnbG4,0hAPF,-23.81731176615014,23.67404760484193,-3.0095271599611073,0.3926128398241525,0.6444337925875264,0.1755817997372083,0.2881995534447418,0.018112461099302323,0.0010724667111135563,0.00047962169393110817,0.05,Across_DV
ecadGFPnbG4,0hAPF,-21.757545773371064,21.712874261351008,-2.3558696940241335,0.39634983448648614,0.566371150679573,0.17725303455651467,0.25328887868286026,0.019811018749302613,0.0006150923124262667,0.0002750776446045342,0.05,Across_DV
ecadGFPnbG4,0hAPF,-19.697779780591993,19.731047987501693,-1.7841648872512081,0.40063374128751944,0.4855343715184875,0.1791688559197915,0.21713757202559517,0.02111547360937852,0.00023736503036059657,0.00010615286867351906,0.05,Across_DV
ecadGFPnbG4,0hAPF,-17.638013787812923,17.73120309213376,-1.3002353392123305,0.4049585443796658,0.40463599466686534,0.1811029666604596,0.18095871804367064,0.021692465302915173,0.0007773487489334171,0.00034764092896790756,0.05,Across_DV
ecadGFPnbG4,0hAPF,-15.578247795033846,15.715981234919173,-0.906499899480694,0.4089125635864844,0.32656825618954566,0.18287125780661687,0.1460457640266781,0.021190383343040988,0.001476414353120309,0.0006602725713066779,0.05,Across_DV
ecadGFPnbG4,0hAPF,-13.518481802254776,13.687930216809269,-0.600777898007394,0.41222050537579424,0.2541143332672038,0.18435061434791866,0.11364338464850077,0.01943836028408419,0.0020485537402009017,0.000916141083730132,0.05,Across_DV
ecadGFPnbG4,0hAPF,-11.458715809475706,11.64943593525825,-0.37587987400004746,0.41475727972866594,0.18948420034406152,0.1854850943272385,0.08473991052630211,0.016688959434665078,0.0024114726453823556,0.0010784433521912383,0.05,Across_DV
ecadGFPnbG4,0hAPF,-9.398949816696636,9.6026962690226,-0.22058689830691133,0.4165281571900327,0.13409423901426587,0.18627705480392617,0.059968766765400576,0.013312045398998279,0.002574728201918838,0.0011514534566152653,0.05,Across_DV
ecadGFPnbG4,0hAPF,-7.3391838239175655,7.5497035012072615,-0.12108698028735247,0.4176348389137901,0.08859226420777445,0.18677197791668182,0.03961966500984104,0.009682810094097856,0.002562893727560685,0.0011461609187867034,0.05,Across_DV
ecadGFPnbG4,0hAPF,-5.279417831138488,5.492226880492707,-0.06242969588325882,0.4182381257695096,0.05290098368635221,0.18704177600054597,0.023658039119858188,0.006159996699201048,0.0024022331851231236,0.001074311339948228,0.05,Across_DV
ecadGFPnbG4,0hAPF,-3.219651838359418,3.4317951823638166,-0.029980816496856293,0.4185217073970654,0.02628629434075353,0.18716859755982296,0.011755588204498582,0.003083172623222319,0.0021128332040446993,0.0009448877338725262,0.05,Across_DV
ecadGFPnbG4,0hAPF,-1.159885845580348,1.369679270338694,-0.010876937868523447,0.4186594446108027,0.007703786208040801,0.18723019551441256,0.0034452379290609136,0.0007818597423810776,0.0017087716383957234,0.0007641859082953054,0.05,Across_DV
ecadGFPnbG4,0hAPF,0.8998801471987292,-0.6931253266057784,0.004520208166036437,0.41878681727812994,0.006929653333721043,0.18728715830293638,0.0030990351829416575,-0.0004215226034219318,0.001208420222916728,0.0005404219527654505,0.05,Across_DV
ecadGFPnbG4,0hAPF,2.9596461399777994,-2.755909700719892,0.021289578607250646,0.418977630194955,0.015677457612707918,0.18737249243353754,0.007011172187277295,-0.0004448183371435949,0.0006978222913476694,0.0003120756159336104,0.05,Across_DV
ecadGFPnbG4,0hAPF,5.0194121327568695,-4.818212556132503,0.03960140772834224,0.41923719491376765,0.022149531199700097,0.1874885733047027,0.009905571486456377,0.0005089979058289545,0.0005873997458763988,0.00026269315234914587,0.05,Across_DV
ecadGFPnbG4,0hAPF,7.079178125535947,-6.879724739370063,0.0554732480230017,0.4195125704693337,0.026970816612932234,0.1876117249970202,0.012061715871039422,0.002223055009101322,0.001074559781534812,0.00048055774347983255,0.05,Across_DV
ecadGFPnbG4,0hAPF,9.13894411831501,-8.940184619451447,0.06170517048253658,0.4197060126769995,0.031503210136328896,0.18769823498223184,0.014088663874858366,0.004481487235151624,0.001667790752454408,0.000745858698946716,0.05,Across_DV
ecadGFPnbG4,0hAPF,11.198710111094087,-10.99927341036204,0.04881609305044693,0.4196894631517557,0.039364091355221516,0.18769083380954377,0.017604156828557427,0.0070674975706055505,0.0022031044774819424,0.0009852582746367555,0.05,Across_DV
ecadGFPnbG4,0hAPF,13.25847610387315,-13.05651049352771,0.005980109077001144,0.41932089986557675,0.056027095727920924,0.1875260072971624,0.02505607892590385,0.009760931234480739,0.0026091136943000286,0.001166831116296094,0.05,Across_DV
ecadGFPnbG4,0hAPF,15.318242096652227,-15.111148740288934,-0.0780371842261906,0.4184633978206173,0.08507895958448401,0.18714252072448753,0.0380484674171727,0.01233720259534698,0.002825091085094869,0.001263419141780154,0.05,Across_DV
ecadGFPnbG4,0hAPF,17.378008089431304,-17.162069834375984,-0.21394235733927106,0.41700747544760813,0.12723499618006584,0.18649141244528525,0.05690122011511065,0.014570489452591531,0.0027924779798267443,0.0012488341177127773,0.05,Across_DV
ecadGFPnbG4,0hAPF,19.437774082210368,-19.207680731107935,-0.4109855471485755,0.41489665547689625,0.18173244248111395,0.18554742505673008,0.08127321902096826,0.01627701014511689,0.0024920804869631194,0.0011144922748500625,0.05,Across_DV
ecadGFPnbG4,0hAPF,21.497540074989445,-21.24584526318756,-0.6762365770287105,0.41215353286923007,0.24691680747836559,0.18432066333245847,0.11042455326177077,0.017452939964203485,0.0019971367352527563,0.0008931467000774327,0.05,Across_DV
ecadGFPnbG4,0hAPF,23.557306067768522,-23.273944542097436,-1.0144830974226875,0.4088980405403271,0.32050090493576927,0.18286476290292722,0.1433323620573156,0.01817573977700704,0.001376283636790928,0.0006154927536370291,0.05,Across_DV
ecadGFPnbG4,0hAPF,25.617072060547585,-25.289027165927948,-1.4284839797582731,0.40535103749826,0.3997562791132828,0.18127849491923512,0.17877644290593595,0.018523840474443568,0.0007006873084183804,0.00031335689051897186,0.05,Across_DV
ecadGFPnbG4,0hAPF,27.676838053326662,-27.28796959412768,-1.9192554761491702,0.40182760382782395,0.48171623025741656,0.1797027674789738,0.21543004734410487,0.018570670362602498,0.00013491173225815617,6.033436085829767e-05,0.05,Across_DV
ecadGFPnbG4,0hAPF,29.73660404610574,-29.26763656510253,-2.48635749060156,0.3987188187407082,0.5634020933041353,0.1783124765225281,0.2519610758587451,0.018381761649099847,0.000611415348161182,0.0002734332561950208,0.05,Across_DV
ecadGFPnbG4,0hAPF,31.796370038884803,-31.225041513815007,-3.1281798502206817,0.3964587456264002,0.6420619684092933,0.17730174109898567,0.28713884142610047,0.01801334633454867,0.0010931947321742269,0.0004888915467572495,0.05,Across_DV
ecadGFPnbG4,0hAPF,33.85613603166388,-33.15750698938344,-3.8422285764174076,0.3954749621731189,0.7154155133398551,0.17686177976365036,0.3199435439971647,0.01751226346921001,0.0014133095862521874,0.0006320512616223986,0.05,Across_DV
ecadGFPnbG4,0hAPF,35.91590202444294,-35.06282490022794,-4.625411835620677,0.39612471233229335,0.7819012204892013,0.17715235686851144,0.3496768561407811,0.01691432245055811,0.0015314917422377182,0.0006849039285246248,0.05,Across_DV
ecadGFPnbG4,0hAPF,37.97566801722202,-36.93940145615192,-5.474296719221161,0.39863322979144655,0.8408914506200336,0.17827419998079375,0.37605808905696053,0.016224245038138983,0.001446572141152868,0.0006469267283950467,0.05,Across_DV
ecadGFPnbG4,0hAPF,40.0354340100011,-38.786308807419424,-6.385229855434266,0.4030765811359923,0.8927265834408686,0.18026132711165763,0.39923946517898407,0.015456020018746058,0.0012015308422307638,0.0005373409280581125,0.05,Across_DV
ecadGFPnbG4,0hAPF,42.09520000278016,-40.603188102313084,-7.354412404873331,0.4094024949482494,0.938542822810015,0.18309036177245996,0.41972911031954674,0.014650784392585364,0.0008619586790386042,0.0003854796400252484,0.05,Across_DV
ecadGFPnbG4,0hAPF,44.15496599555924,-42.39007368600273,-8.378027431662673,0.4174730137048122,0.9800081101434872,0.18669960748313227,0.4382729505563877,0.013854846551683475,0.0004951296917572243,0.00022142872968953416,0.05,Across_DV
ecadGFPnbG4,0hAPF,46.2147319883383,-44.14720860284705,-9.45237690463063,0.4271222647775107,1.01904547428303,0.1910148837492356,0.4557309905320737,0.013117218472914393,0.00021294079410905245,9.52300181621256e-05,0.05,Across_DV
