genotype,devstage,arclength,x,y,x_sd,y_sd,x_sem,y_sem,curvature,curvature_sd,curvature_sem,crosssection
ecadGFPnbG4myoVI,0hAPF,-72.88921387348083,63.454829099153436,-22.34233361584678,1.3761951563252235,4.339913254829254,0.794546643961827,2.5056500859352946,0.01458705656359588,0.00041925185524516347,0.00024205517148404517,Across_DV
ecadGFPnbG4myoVI,0hAPF,-67.7993616106591,60.191321235590806,-18.29942486397588,1.1218962429953163,4.083615674462856,0.6477270978961757,2.3576766089181054,0.015708801054582115,0.0008047399409260344,0.0004646168215212895,Across_DV
ecadGFPnbG4myoVI,0hAPF,-62.70950934783737,56.66236485831714,-14.588891568133816,0.9011224454869924,3.8108108325748233,0.520263286474729,2.200172660017816,0.016994799731980943,0.0011563138310168454,0.0006675981016052631,Across_DV
ecadGFPnbG4myoVI,0hAPF,-57.61965708501563,52.889615735091276,-11.252902764216694,0.712963332403426,3.5321026456251055,0.4116295718854507,2.039260413257044,0.018239761133384966,0.0013823870749632243,0.000798121549854277,Across_DV
ecadGFPnbG4myoVI,0hAPF,-52.52980482219391,48.89520255688657,-8.322963567587122,0.5568473661546378,3.2568340777381874,0.32149597674691427,1.8803340314880892,0.019150549811621658,0.0014065831545458842,0.0008120911629146593,Across_DV
ecadGFPnbG4myoVI,0hAPF,-47.43995255937216,44.70159939642394,-5.816838628202362,0.4332254927334171,2.9917746305373525,0.25012285484944663,1.7273018882954336,0.019416974524451385,0.0012100111944841855,0.0006986002888579051,Across_DV
ecadGFPnbG4myoVI,0hAPF,-42.35010029655044,40.33136248294495,-3.736469406399614,0.3438653891140584,2.7393002076289497,0.19853077496999705,1.5815357122657718,0.018860340381896202,0.0008195073811998063,0.00047314280713859345,Across_DV
ecadGFPnbG4myoVI,0hAPF,-37.260248033728715,35.80675732923602,-2.068294113861636,0.2899016047848657,2.4957235390065935,0.16737476956104672,1.4409066570683424,0.017526344164880442,0.0002616934492867016,0.00015108878339083887,Across_DV
ecadGFPnbG4myoVI,0hAPF,-32.170395770906964,31.149614388224723,-0.786034786518608,0.2665141613129176,2.2519332426650402,0.15387202277686032,1.3001542638497279,0.015625931934463867,0.0004298848466701143,0.0002481941319455315,Across_DV
ecadGFPnbG4myoVI,0hAPF,-27.080543508085242,26.381296668995276,0.1457348696867207,0.26060576719487466,1.9951487883199404,0.15046080984232985,1.1518996900098732,0.013438753135212277,0.001122668034809432,0.0006481726921078138,Across_DV
